ID_1,Name,Crimes reported,Population(millions),Area(sqkm),Population density(per sq.km),Literacy Rate in percent,Percentage of Urban Population to total Population,Sex Ratio
1288,Andhra Pradesh,2424,84.665533,275045,308,67.66,27.3,992
1289,Arunachal Pradesh,93,1.382611,83743,17,66.95,20.8,920
1290,Assam,424,31.169272,78550,397,73.18,12.9,954
1291,Bihar,1065,103.804637,99200,1102,63.82,10.5,916
1293,Chhattisgarh,2178,25.540196,135194,189,71.04,20.1,991
1297,Goa,114,1.457723,3702,394,87.4,62.2,968
1298,Gujarat,1968,60.383628,196024,308,79.31,37.4,918
1299,Haryana,758,25.353081,44212,573,76.64,28.9,877
1300,Himachal Pradesh,236,6.856509,55673,123,83.78,9.8,920
1301,Jammu and Kashmir,18,12.548926,222236,124,68.74,24.8,883
1302,Jharkhand,364,32.966238,74677,414,67.63,22.2,947
1303,Karnataka,367,61.130704,191791,319,75.6,34,968
1304,Kerala,843,33.387677,38863,859,93.91,26,1084
1306,Madhya Pradesh,5495,72.597565,308252,236,70.63,26.5,930
1307,Maharashtra,6417,112.372972,307713,365,82.91,42.4,925
1308,Manipur,0,2.721756,22347,122,79.85,25.1,987
1309,Meghalaya,124,2.964007,22720,132,75.48,19.6,986
1310,Mizoram,54,1.091014,21081,52,91.58,49.6,975
1311,Nagaland,43,1.980602,16579,119,80.11,17.2,931
1312,Orissa,612,41.947358,155820,269,73.45,15,978
1314,Punjab,193,27.704236,50362,550,76.68,33.9,893
1315,Rajasthan,2445,68.621012,342269,201,67.06,23.4,926
1316,Sikkim,63,0.607688,7096,86,82.2,11.1,889
1317,Tamil Nadu,1400,72.138958,130058,480,80.33,44,995
1318,Tripura,92,3.671032,10492,350,87.75,17.1,961
1319,Uttar Pradesh,1130,199.581477,243286,828,69.72,20.8,908
1320,Uttaranchal,83,10.116752,53566,189,79.63,25.7,963
1321,West Bengal,555,91.347736,88752,1029,77.08,28,947
